id,slug,project_name,status,cover_image,year,date_started,date_finished,quilt_type,dimensions,pattern_name,pattern_designer,pattern_source,pattern_link,main_fabric,fabric_brand,fabric_designer,fabric_collection,batting,backing,binding,techniques,project_story,notes,lessons_learned,photo_gallery,featured,block_template
1,midnight-garden,Midnight Garden,Finished,,2023,March 2023,September 2023,"Bed quilt, queen","92"" x 96""",Garden Trellis,Jen Kingwell,Quiltmania,,Kona Cotton Solids,Robert Kaufman,,Kona Solids,Warm & Natural cotton,Indigo shot cotton,"Double-fold, hand stitched","Hand Piecing, Hand Quilting, English Paper Piecing","I started this the winter after we lost the garden to the frost — I wanted something that felt like it was still blooming. Every hexagon is a fabric I'd been saving for a decade, some of it from your grandmother's scrap bin. It took the better part of a year, mostly stitched in the evenings while the news was on. I still find pins in the couch cushions.",,,,TRUE,
2,sunday-porch,Sunday Porch,Finished,,2022,June 2022,August 2022,Lap quilt,"54"" x 60""",Courthouse Steps,Traditional,Family pattern,,Cotton shirting scraps,Mixed,,,Bamboo blend,Cream muslin,"Machine bound, scrappy","Machine Piecing, Machine Quilting, Foundation Piecing","Made entirely from your father's old work shirts after he cleared out his closet. I couldn't bear to give them to the donation bin, so I cut them into strips instead. This one lives on the porch swing from May through October.",,,,TRUE,
3,harvest-star,Harvest Star,Finished,,2021,September 2021,November 2021,Wall hanging,"40"" x 40""",Ohio Star Sampler,Lorena (original),,,"Cotton prints, autumn palette",Moda,,Farmstead,Wool,Rust gingham,"Bias, machine stitched","Machine Piecing, Hand Quilting, Appliqué","Made for the harvest table the year the co-op finally had a good crop. I designed the star layout myself on graph paper — first time I didn't work from someone else's pattern.",,,,,
4,blue-hour,Blue Hour,In Progress,,2026,January 2026,,"Bed quilt, full","80"" x 88"" (planned)","Log Cabin, courthouse variation",Traditional,,,Indigo-dyed cotton,"Hand-dyed, various",,,Cotton,,,"Machine Piecing, Hand Quilting","Every block uses fabric I dyed myself in the backyard vats last summer — thirty-one shades of blue, one for every day. Still on the design wall, still deciding on the border.",,,,,
5,wedding-ring-for-margaret,Wedding Ring for Margaret,Finished,,2020,January 2020,May 2020,"Bed quilt, queen","90"" x 90""",Double Wedding Ring,Traditional,Grandmother's pattern pieces,,Cotton solids and vintage prints,Mixed / vintage,,,Cotton,Ivory sateen,Hand stitched,"Hand Piecing, Hand Quilting, English Paper Piecing","Made for my sister's fortieth anniversary, using the actual template pieces our mother cut in 1968. The curves nearly broke me — I unpicked the whole top row twice before it lay flat. Margaret cried when she unwrapped it, and so did I.",,,,TRUE,
6,flying-north,Flying North,Finished,,2019,October 2019,January 2020,Lap quilt,"50"" x 65""",Flying Geese Migration,Lorena (original),,,"Cotton prints, blues and greys",Art Gallery Fabrics,,Woodland Grove,Wool,Charcoal flannel,Machine bound,"Paper Piecing, Machine Quilting","Started the week your grandfather passed. I needed something with a lot of small, exacting steps to keep my hands busy. The geese all point north because that's the direction he always said the good weather came from.",,,,,
7,kitchen-window,Kitchen Window,Finished,,2018,April 2018,June 2018,Table runner,"14"" x 48""",Four Patch Variation,Traditional,,,Linen-cotton blend,Essex,,,Thin cotton,Natural linen,Machine bound,"Machine Piecing, Machine Quilting","A quick one, made in a weekend for the kitchen table. Sometimes you need a project that finishes before you lose interest.",,,,,
8,pinwheel-summer,Pinwheel Summer,Finished,,2017,June 2017,August 2017,Crib quilt,"36"" x 42""",Classic Pinwheel,Traditional,,,"Cotton prints, primary palette",Moda,,Bright Side,Cotton,Yellow gingham,Machine bound,"Machine Piecing, Machine Quilting","Made for the first great-grandbaby. I wanted colors that would still look good in every photograph for the next eighty years, so I kept it simple — just red, yellow, and blue turning in circles.",,,,,
9,diamond-in-the-rough,Diamond in the Rough,UFO,,2016,March 2016,,"Bed quilt, twin","66"" x 90"" (planned)","Lone Star, simplified",Eleanor Burns,Quilt in a Day,,Cotton solids and batiks,Mixed,,,,,,"Machine Piecing, Foundation Piecing","The diamonds never wanted to match up and I put it in the closet in a fit of frustration. Ten years later it's still there. Maybe this is the year.",,Should have starched the bias edges before piecing. Every diamond point taught me a new way to swear quietly.,,,
10,first-quilt,The First One,Finished,,1994,January 1994,December 1994,"Bed quilt, full","76"" x 84""",Simple Nine Patch,Traditional,County fair pamphlet,,Cotton calico,Whatever the fabric store had,,,Polyester,Floral sheet set,"Hand stitched, uneven","Hand Piecing, Hand Quilting","My very first quilt, made the year you were born, mostly at 2am while you slept. Every stitch is a little wobbly and I wouldn't change a thing about it.",,Learned to piece by candlelight during a very long winter and a lot of very short naps.,,TRUE,
11,courthouse-quiet,"Courthouse, Quiet",Finished,,2024,February 2024,April 2024,Lap quilt,"52"" x 52""",Courthouse Steps,Traditional,,,Linen and cotton solids,Robert Kaufman / Essex,,,Cotton,Oatmeal linen,Machine bound,"Machine Piecing, Machine Quilting","Made in the six weeks after retiring, when the house was finally quiet enough to hear the sewing machine think.",,,,,
12,star-for-the-new-house,Star for the New House,Finished,,2025,May 2025,July 2025,Wall hanging,"36"" x 36""",Friendship Star,Traditional,,,"Cotton solids, warm palette",Kona Cotton,,,Cotton,Terracotta solid,Machine bound,"Machine Piecing, Hand Quilting","A housewarming gift I made for myself when I moved. Every new house deserves a star over the door, even if it just hangs in the hallway.",,,,TRUE,
